Nombre,Costo,Motor,Cilindros,Caballos,Millaje,Peso 
Acura 3.5 RL 4dr,39014,3.5,6,225,24,3880
Acura 3.5 RL w/Navigation 4dr,41100,3.5,6,225,24,3893
Acura RSX Type S 2dr,21761,2,4,200,31,2778
Acura TL 4dr,30299,3.2,6,270,28,3575
Acura TSX 4dr,24647,2.4,4,200,29,3230
Audi A4 1.8T 4dr,23508,1.8,4,170,31,3252
Audi A4 3.0 4dr,28846,3,6,220,28,3462
Audi A4 3.0 convertible 2dr,38325,3,6,220,27,3814
Audi A4 3.0 Quattro 4dr auto,31388,3,6,220,25,3627
Audi A4 3.0 Quattro 4dr manual,30366,3,6,220,26,3583
Audi A4 3.0 Quattro convertible 2dr,40075,3,6,220,25,4013
Audi A41.8T convertible 2dr,32506,1.8,4,170,30,3638
Audi A6 2.7 Turbo Quattro 4dr,38840,2.7,6,250,25,3836
Audi A6 3.0 4dr,33129,3,6,220,27,3561
Audi A6 3.0 Quattro 4dr,35992,3,6,220,25,3880
Audi A6 4.2 Quattro 4dr,44936,4.2,8,300,24,4024
Audi A8 L Quattro 4dr,64740,4.2,8,330,24,4399
Audi S4 Quattro 4dr,43556,4.2,8,340,20,3825
BMW 325Ci 2dr,28245,2.5,6,184,29,3197
BMW 325Ci convertible 2dr,34800,2.5,6,184,27,3560
BMW 325i 4dr,26155,2.5,6,184,29,3219
BMW 325xi 4dr,27745,2.5,6,184,27,3461
BMW 330Ci 2dr,33890,3,6,225,30,3285
BMW 330Ci convertible 2dr,40530,3,6,225,28,3616
BMW 330i 4dr,32525,3,6,225,30,3285
BMW 330xi 4dr,34115,3,6,225,29,3483
BMW 525i 4dr,36620,2.5,6,184,28,3428
BMW 530i 4dr,41170,3,6,225,30,3472
BMW 545iA 4dr,50270,4.4,8,325,26,3814
BMW 745i 4dr,63190,4.4,8,325,26,4376
BMW 745Li 4dr,66830,4.4,8,325,26,4464
Buick Century Custom 4dr,20351,3.1,6,175,30,3353
Buick LeSabre Custom 4dr,24282,3.8,6,205,29,3567
Buick LeSabre Limited 4dr,29566,3.8,6,205,29,3591
Buick Park Avenue 4dr,32244,3.8,6,205,29,3778
Buick Park Avenue Ultra 4dr,36927,3.8,6,240,28,3909
Buick Regal GS 4dr,26047,3.8,6,240,28,3536
Buick Regal LS 4dr,22835,3.8,6,200,30,3461
Cadillac CTS VVT 4dr,28575,3.6,6,255,25,3694
Cadillac Deville 4dr,41650,4.6,8,275,26,3984
Cadillac Deville DTS 4dr,46362,4.6,8,300,26,4044
Cadillac Seville SLS 4dr,43841,4.6,8,275,26,3992
Chevrolet Aveo 4dr,10965,1.6,4,103,34,2370
Chevrolet Aveo LS 4dr hatch,11802,1.6,4,103,34,2348
Chevrolet Cavalier 2dr,13697,2.2,4,140,37,2617
Chevrolet Cavalier 4dr,13884,2.2,4,140,37,2676
Chevrolet Cavalier LS 2dr,15357,2.2,4,140,37,2617
Chevrolet Impala 4dr,20095,3.4,6,180,32,3465
Chevrolet Impala LS 4dr,22931,3.6,6,200,30,3476
Chevrolet Impala SS 4dr,25672,3.8,6,240,28,3606
Chevrolet Malibu 4dr,17434,2.2,4,145,34,3174
Chevrolet Malibu LS 4dr,18639,3.5,6,200,30,3297
Chevrolet Malibu LT 4dr,21551,3.5,6,200,32,3315
Chevrolet Monte Carlo LS 2dr,20026,3.4,6,180,32,3340
Chevrolet Monte Carlo SS 2dr,22222,3.8,6,200,28,3434
Chrvsler PT Cruiser GT 4dr,24172,2.4,4,220,27,3217
Chrysler 300M 4dr,27797,3.5,6,250,27,3581
Chrysler 300M Special Edition 4dr,30884,3.5,6,255,27,3650
Chrysler Concorde LX 4dr,22452,2.7,6,200,29,3479
Chrysler Concorde LXi 4dr,24909,3.5,6,232,27,3548
Chrysler PT Cruiser 4dr,16919,2.4,4,150,29,3101
Chrysler PT Cruiser Limited 4dr,20573,2.4,4,150,29,3105
Chrysler Sebring 4dr,17805,2.4,4,150,30,3173
Chrysler Sebring convertible 2dr,23451,2.4,4,150,30,3357
Chrysler Sebring Limited convertible 2dr,28613,2.7,6,200,28,3448
Chrysler Sebring Touring 4dr,20284,2.7,6,200,28,3222
Dodge Intrepid ES 4dr,23058,3.5,6,232,27,3487
Dodge Intrepid SE 4dr,20502,2.7,6,200,29,3469
Dodge Neon SE 4dr,12849,2,4,132,36,2581
Dodge Neon SXT 4dr,14086,2,4,132,36,2626
Dodge Stratus SE 4dr,18821,2.4,4,150,28,3175
Dodge Stratus SXT 4dr,17512,2.4,4,150,28,3182
Ford Crown Victoria 4dr,22856,4.6,8,224,25,4057
Ford Crown Victoria LX 4dr,25105,4.6,8,224,25,4057
Ford Crown Victoria LX Sport 4dr,27756,4.6,8,239,25,4057
Ford Focus LX 4dr,12906,2,4,110,36,2606
Ford Focus SE 4dr,14496,2,4,130,33,2606
Ford Focus SVT 2dr,17878,2,4,170,28,2750
Ford Focus ZX3 2dr hatch,12482,2,4,130,33,2612
Ford Focus ZX5 5dr,14607,2,4,130,33,2691
Ford Taurus LX 4dr,18881,3,6,155,27,3306
Ford Taurus SES Duratec 4dr,20857,3,6,201,26,3313
Honda Accord EX 2dr,20080,2.4,4,160,34,3047
Honda Accord EX V6 2dr,24304,3,6,240,30,3294
Honda Accord LX 2dr,17924,2.4,4,160,34,2994
Honda Accord LX V6 4dr,21428,3,6,240,30,3349
Honda Civic DX 2dr,12175,1.7,4,115,38,2432
Honda Civic EX 4dr,16265,1.7,4,127,37,2601
Honda Civic HX 2dr,12996,1.7,4,117,44,2500
Honda Civic Hybrid 4dr manual (gas/electric),18451,1.4,4,93,51,2732
Honda Civic LX 4dr,14531,1.7,4,115,38,2513
Honda Civic Si 2dr hatch,17849,2,4,160,30,2782
Honda Insight 2dr (gas/electric),17911,2,3,73,66,1850
Hyundai Accent 2dr hatch,10107,1.6,4,103,33,2255
Hyundai Accent GL 4dr,11116,1.6,4,103,33,2290
Hyundai Accent GT 2dr hatch,11209,1.6,4,103,33,2339
Hyundai Elantra GLS 4dr,12781,2,4,138,34,2635
Hyundai Elantra GT 4dr,14207,2,4,138,34,2635
Hyundai Elantra GT 4dr hatch,14207,2,4,138,34,2698
Hyundai Sonata GLS 4dr,17574,2.7,6,170,27,3217
Hyundai Sonata LX 4dr,18380,2.7,6,170,27,3217
Hyundai XG350 4dr,22055,3.5,6,194,26,3651
Hyundai XG350 L 4dr,23486,3.5,6,194,26,3651
Infiniti G35 4dr V2,26157,3.5,6,260,26,3336
Infiniti G35 4dr,29783,3.5,6,260,26,3677
Infiniti G35 Sport Coupe 2dr,27536,3.5,6,280,26,3416
Infiniti I35 4dr,28320,3.5,6,255,26,3306
Infiniti M45 4dr,38792,4.5,8,340,23,3851
Infiniti Q45 Luxury 4dr,47575,4.5,8,340,23,3977
Jaguar S-Type 3.0 4dr,40004,3,6,235,26,3777
Jaguar S-Type 4.2 4dr,45556,4.2,8,294,28,3874
Jaguar S-Type R 4dr,57499,4.2,8,390,24,4046
Jaguar Vanden Plas 4dr,62846,4.2,8,294,28,3803
Jaguar XJ8 4dr,54656,4.2,8,294,28,3803
Jaguar XJR 4dr,68306,4.2,8,390,24,3948
Jaguar X-Type 2.5 4dr,27355,2.5,6,192,26,3428
Jaguar X-Type 3.0 4dr,30995,3,6,227,25,3516
Kia Optima LX 4dr,14910,2.4,4,138,30,3281
Kia Optima LX V6 4dr,16850,2.7,6,170,27,3279
Kia Rio 4dr auto,10705,1.6,4,104,32,2458
Kia Rio 4dr manual,9875,1.6,4,104,33,2403
Kia Spectra 4dr,11630,1.8,4,124,32,2661
Kia Spectra GS 4dr hatch,12830,1.8,4,124,32,2686
Kia Spectra GSX 4dr hatch,13790,1.8,4,124,32,2697
Lexus ES 330 4dr,28755,3.3,6,225,29,3460
Lexus GS 300 4dr,36196,3,6,220,25,3649
Lexus GS 430 4dr,42232,4.3,8,300,23,3715
Lexus IS 300 4dr auto,28611,3,6,215,24,3285
Lexus IS 300 4dr manual,27404,3,6,215,25,3255
Lexus LS 430 4dr,48583,4.3,8,290,25,3990
Lincoln LS V6 Luxury 4dr,29969,3,6,232,26,3681
Lincoln LS V6 Premium 4dr,33929,3,6,232,26,3681
Lincoln LS V8 Sport 4dr,36809,3.9,8,280,24,3768
Lincoln LS V8 Ultimate 4dr,39869,3.9,8,280,24,3768
Lincoln Town Car Signature 4dr,38418,4.6,8,239,25,4369
Lincoln Town Car Ultimate 4dr,41217,4.6,8,239,25,4369
Lincoln Town Car Ultimate L 4dr,46208,4.6,8,239,25,4474
Mazda6 i 4dr,17817,2.3,4,160,32,3042
Mercedes-Benz C230 Sport 2dr,24249,1.8,4,189,30,3250
Mercedes-Benz C240 4dr,30071,2.6,6,168,25,3360
Mercedes-Benz C240 4dr V2,31187,2.6,6,168,25,3360
Mercedes-Benz C32 AMG 4dr,48522,3.2,6,349,21,3540
Mercedes-Benz C320 4dr,35046,3.2,6,215,26,3450
Mercedes-Benz C320 Sport 2dr,26435,3.2,6,215,26,3430
Mercedes-Benz C320 Sport 4dr,33456,3.2,6,215,26,3430
Mercedes-Benz CL500 2dr,88324,5,8,302,24,4085
Mercedes-Benz CL600 2dr,119600,5.5,12,493,19,4473
Mercedes-Benz CLK320 coupe 2dr (convertible),41966,3.2,6,215,26,3770
Mercedes-Benz CLK500 coupe 2dr (convertible),49104,5,8,302,22,3585
Mercedes-Benz E320 4dr,44849,3.2,6,221,27,3635
Mercedes-Benz E500 4dr,53382,5,8,302,20,3815
Mercedes-Benz S430 4dr,69168,4.3,8,275,26,4160
Mercedes-Benz S500 4dr,80939,5,8,302,24,4390
Mercury Grand Marquis GS 4dr,23217,4.6,8,224,25,4052
Mercury Grand Marquis LS Premium 4dr,27148,4.6,8,224,25,4052
Mercury Grand Marquis LS Ultimate 4dr,28318,4.6,8,224,25,4052
Mercury Marauder 4dr,31558,4.6,8,302,23,4195
Mercury Sable GS 4dr,19848,3,6,155,27,3308
Mercury Sable LS Premium 4dr,21918,3,6,201,26,3315
Mini Cooper,15437,1.6,4,115,37,2524
Mini Cooper S,18137,1.6,4,163,34,2678
Mitsubishi Diamante LS 4dr,27250,3.5,6,205,25,3549
Mitsubishi Galant GTS 4dr,23883,3.8,6,230,26,3649
Nissan Altima S 4dr,18030,2.5,4,175,26,3039
Nissan Altima SE 4dr,21580,3.5,6,245,26,3197
Nissan Maxima SE 4dr,25182,3.5,6,265,28,3473
Nissan Maxima SL 4dr,26966,3.5,6,265,28,3476
Nissan Sentra 1.8 4dr,12205,1.8,4,126,35,2513
Nissan Sentra 1.8 S 4dr,13747,1.8,4,126,35,2581
Nissan Sentra SE-R 4dr,16444,2.5,4,165,28,2761
Oldsmobile Alero GLS 2dr,21485,3.4,6,170,29,3085
Oldsmobile Alero GX 2dr,17642,2.2,4,140,32,2946
Pontiac Grand Am GT 2dr,20595,3.4,6,175,29,3118
Pontiac Grand Prix GT1 4dr,20545,3.8,6,200,30,3477
Pontiac Grand Prix GT2 4dr,22284,3.8,6,200,30,3484
Pontiac Sunfire 1SA 2dr,14375,2.2,4,140,33,2771
Pontiac Sunfire 1SC 2dr,16369,2.2,4,140,33,2771
Saab 9-3 Aero 4dr,31562,2,4,210,28,3175
Saab 9-3 Aero convertible 2dr,40883,2,4,210,30,3700
Saab 9-3 Arc convertible 2dr,38520,2,4,210,29,3480
Saab 9-3 Arc Sport 4dr,29269,2,4,210,28,3175
Saab 9-5 Aero 4dr,37721,2.3,4,250,29,3470
Saab 9-5 Arc 4dr,33011,2.3,4,220,29,3470
Saturn Ion1 4dr,10319,2.2,4,140,35,2692
Saturn L300-2 4dr,19801,3,6,182,28,3197
Saturn lon2 4dr,13393,2.2,4,140,35,2692
Saturn lon2 quad coupe 2dr,13904,2.2,4,140,35,2751
Saturn lon3 4dr,14811,2.2,4,140,35,2692
Saturn lon3 quad coupe 2dr,15299,2.2,4,140,35,2751
Scion xA 4dr hatch,12340,1.5,4,108,38,2340
Subaru Impreza 2.5 RS 4dr,18399,2.5,4,165,28,2965
Subaru Legacy GT 4dr,23336,2.5,4,165,28,3395
Subaru Legacy L 4dr,18713,2.5,4,165,28,3285
Subaru Outback H6 4dr,26660,3,6,212,26,3610
Subaru Outback H-6 VDC 4dr,28603,3,6,212,26,3630
Subaru Outback Limited Sedan 4dr,24687,2.5,4,165,27,3495
Suzuki Aeno S 4dr,12719,2.3,4,155,31,2676
Suzuki Aerio LX 4dr,14317,2.3,4,155,31,2676
Suzuki Forenza EX 4dr,15378,2,4,119,30,2756
Suzuki Forenza S 4dr,12116,2,4,119,31,2701
Suzuki Verona LX 4dr,17053,2.5,6,155,27,3380
Toyota Avalon XL 4dr,23693,3,6,210,29,3417
Toyota Avalon XLS 4dr,27271,3,6,210,29,3439
Toyota Camry LE 4dr,17558,2.4,4,157,33,3086
Toyota Camry LE V6 4dr,20325,3,6,210,29,3296
Toyota Camry Solara SE 2dr,17722,2.4,4,157,33,3175
Toyota Camry Solara SE V6 2dr,19819,3.3,6,225,29,3417
Toyota Camry Solara SLE V6 2dr,23908,3.3,6,225,29,3439
Toyota Camry XLE V6 4dr,23125,3,6,210,29,3362
Toyota Corolla CE 4dr,13065,1.8,4,130,40,2502
Toyota Corolla LE 4dr,13889,1.8,4,130,40,2524
Toyota Corolla S 4dr,13650,1.8,4,130,40,2524
Toyota Echo 2dr auto,10896,1.5,4,108,39,2085
Toyota Echo 2dr manual,10144,1.5,4,108,43,2035
Toyota Echo 4dr,10642,1.5,4,108,43,2055
Toyota Prius 4dr (gas/electric),18926,1.5,4,110,51,2890
Volkswagen Golf GLS 4dr,17478,2,4,115,31,2897
Volkswagen GTI 1.8T 2dr hatch,18109,1.8,4,180,31,2934
Volkswagen Jetta GLI VR6 4dr,21686,2.8,6,200,30,3179
Volkswagen Jetta GLS TDI 4dr,19638,1.9,4,100,46,3003
Volkswagen New Beetle GLS 1.8T 2dr,19638,1.8,4,150,31,2820
Volkswagen New Beetle GLS convertible 2dr,21689,2,4,115,30,3082
Volkswagen Passat GLS 4dr,21898,1.8,4,170,31,3241
Volkswagen Passat GLX V6 4MOTION 4dr,30583,2.8,6,190,26,3721
Volkswagen Passat W8 4MOTION 4dr,36052,4,8,270,25,3953
Volvo C70 HPT convertible 2dr,40083,2.3,5,242,26,3450
Volvo C70 LPT convertible 2dr,38203,2.4,5,197,28,3450
Volvo S40 4dr,23701,1.9,4,170,29,2767
Volvo S60 2.5 4dr,29916,2.5,5,208,27,3903
Volvo S60 R 4dr,35382,2.5,5,300,25,3571
Volvo S60 T5 4dr,32902,2.3,5,247,28,3766
Volvo S80 2.5T 4dr,35688,2.5,5,194,27,3691
Volvo S80 2.9 4dr,35542,2.9,6,208,28,3576
Volvo S80 T6 4dr,42573,2.9,6,268,26,3653
